Job_ID,Agency,Posting_Type,#_Of_Positions,Business_Title,Civil_Service_Title,Level,Job_Category,Full-Time/Part-Time_indicator,Salary_Range_From,Salary_Range_To,Salary_Frequency,Work_Location,Division/Work_Unit,Preferred_Skills,Hours/Shift,Work_Location_1,Residency_Requirement,Posting_Date,Post_Until,Posting_Updated,Process_Date,salary_from,salary_to,avg_salary,salary_range_diff,posting_year,job_posting_age_days,has_masters_degree
366241,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Engineering Technician IV,ENGINEERING TECHNICIAN,4,"Engineering, Architecture, & Planning",F,52194,60023,Annual,NYC - All Boroughs,Div of Field Op/Quality Assur,"","",Job duties will occur in Manhattan and Bronx.,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/01/2018,"",2018-10-01T00:00:00.000,2019-12-17T00:00:00.000,52194.0,60023.0,56108.5,7829.0,2018,"",0
366581,DEPT OF ENVIRONMENT PROTECTION,External,1,CCC Program Administrator,CIVIL ENGINEER,3,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,83887,113725,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting,to be eligible for placement in Assignment Levels II and III,"Appointments are subject to OMB approval. For additional information about DEP, visit www.nyc.gov/dep  DEP is an equal opportunity employer with a strong commitment to the diversity of our organization and workforce. Your voluntary response to the NYCAPS on-line application section for referral information will assist us tremendously in our ability to track the success of our outreach and recruitment efforts. Please be sure to indicate your source of referral to this job.  NOTE: This position is open to qualified persons with a disability who are eligible for the 55-a Program and also meet the education and experience requirements as listed in the job posting notice. Please indicate on your resume or cover letter that you would like to be considered for the position under the 55-a Program. This position is also open to non 55-a Program candidates who meet the education and experience requirements as listed in the job posting notice.","\"Click the \"\"Apply Now\"\" button\"","","",New York City Residency is not required for this position,2018-10-01T00:00:00.000,"",83887.0,113725.0,98806.0,29838.0,"","",1
366581,DEPT OF ENVIRONMENT PROTECTION,Internal,1,CCC Program Administrator,CIVIL ENGINEER,3,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,83887,113725,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting,to be eligible for placement in Assignment Levels II and III,"Appointments are subject to OMB approval. For additional information about DEP, visit www.nyc.gov/dep  DEP is an equal opportunity employer with a strong commitment to the diversity of our organization and workforce. Your voluntary response to the NYCAPS on-line application section for referral information will assist us tremendously in our ability to track the success of our outreach and recruitment efforts. Please be sure to indicate your source of referral to this job.  NOTE: This position is open to qualified persons with a disability who are eligible for the 55-a Program and also meet the education and experience requirements as listed in the job posting notice. Please indicate on your resume or cover letter that you would like to be considered for the position under the 55-a Program. This position is also open to non 55-a Program candidates who meet the education and experience requirements as listed in the job posting notice.","\"Click the \"\"Apply Now\"\" button\"","","",New York City Residency is not required for this position,2018-10-01T00:00:00.000,"",83887.0,113725.0,98806.0,29838.0,"","",1
366589,ADMIN FOR CHILDREN'S SVCS,Internal,1,Agency Implementation and Support Program Evaluator,PROGRAM EVALUATOR (ACS),0,Social Services,F,61850,76745,Annual,"150 William Street, New York N",Title IV-E,all candidates must possess the one year of experience in a supervisory,"and at least an additional six months of full-time professional experience as described in â€œ1\"\" above.    2. A baccalaureate degree from an accredited college or university in one of the fields listed in \"\"1\"\" above and three years of the full-time satisfactory professional experience described in \"\"1\"\" above",including at least one year of experience in a supervisory,"managerial or consultative capacity or related area.     A maximum of six semester credits from an accredited college in statistics and/or research methodologies may substitute for up to six months of the experience described in \"\"1\"\" above. However","",administrative,managerial or consultative capacity,"and at least an additional six months of full-time professional experience as described in â€œ1\"\" above.\"",61850.0,76745.0,69297.5,14895.0,"","",1
366759,OFFICE OF THE COMPTROLLER,External,1,Senior Construction Contract Analyst,ADMINISTRATIVE PROCUREMENT ANA,0,"Finance, Accounting, & Procurement",F,65000,75000,Annual,"1 Centre St., N.Y.",Contract Administration,all candidates must have the eighteen months of administrative,all candidates must have the eighteen months of administrative,managerial,"â€¢ Familiarity with the Cityâ€™s procurement and contracting rules and statutes, the PPB as well as general government and regulatory compliance operations, including legal, regulatory, and financial requirements;  â€¢ Experience in administering NYC construction contracts and cost estimating;  â€¢ Familiarity with the Cityâ€™s information technology systems and databases, including procurement-related systems such as OAISIS, FMS, APT and VENDEX;  â€¢ Demonstrated experience in the field of contract administration and/or handling complex construction, construction-related and/or engineering contract reviews;  â€¢ Demonstrated experience preparing clear, concise, and accurate analytical reports, including the provision of recommendations for review, creation, and modification of existing policies and procedures;  â€¢ Excellent analytical, interpersonal, communication and organizational skills (including Microsoft Office Suite proficiency) and the ability to interact with all levels of management; and  â€¢ Ability to work effectively in a fast-paced environment while managing multiple priorities.","","\"Please click on the \"\"APPLY NOW\"\" button.\"","","",65000.0,75000.0,70000.0,10000.0,"","",0
366759,OFFICE OF THE COMPTROLLER,Internal,1,Senior Construction Contract Analyst,ADMINISTRATIVE PROCUREMENT ANA,0,"Finance, Accounting, & Procurement",F,65000,75000,Annual,"1 Centre St., N.Y.",Contract Administration,all candidates must have the eighteen months of administrative,all candidates must have the eighteen months of administrative,managerial,"â€¢ Familiarity with the Cityâ€™s procurement and contracting rules and statutes, the PPB as well as general government and regulatory compliance operations, including legal, regulatory, and financial requirements;  â€¢ Experience in administering NYC construction contracts and cost estimating;  â€¢ Familiarity with the Cityâ€™s information technology systems and databases, including procurement-related systems such as OAISIS, FMS, APT and VENDEX;  â€¢ Demonstrated experience in the field of contract administration and/or handling complex construction, construction-related and/or engineering contract reviews;  â€¢ Demonstrated experience preparing clear, concise, and accurate analytical reports, including the provision of recommendations for review, creation, and modification of existing policies and procedures;  â€¢ Excellent analytical, interpersonal, communication and organizational skills (including Microsoft Office Suite proficiency) and the ability to interact with all levels of management; and  â€¢ Ability to work effectively in a fast-paced environment while managing multiple priorities.","","\"Please click on the \"\"APPLY NOW\"\" button.\"","","",65000.0,75000.0,70000.0,10000.0,"","",0
366783,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Asset Management Specialist,COMPUTER SERVICE TECHNICIAN (C,1,"Technology, Data & Innovation",F,39797,45766,Annual,421 East 26th Street NY NY,OCME-Admin,"â€¢ Ability to exercise discretion in all activities, high level of flexibility, reliability and dependability. â€¢ Strong initiative, attention to detail, sense of urgency, work ethic and follow-through skills necessary. â€¢ Effective communication, customer relations and interpersonal skills; experience working with all levels of the organization, and ability to interface with Mid-level and Senior Executives. â€¢ Excellent organizational skills with the ability to manage time and multiple priorities to completion. â€¢ Prior knowledge of imaging, encryption, configuring and setting up of desktops, laptops, iPads and other mobile devices.  Familiarity with Microsoft SharePoint portal, Telecom Inventory Management System, AirWatch portal preferred.   â€¢ IT vendor certification like A+ â€¢ Excellent Customer relations and communication skills with the Organizational skills, relationship skills, assertive ability to get the task done, and great follow up and attention to detail. â€¢ Ability to self-manage time and workload.","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",09/21/2018,"",2018-09-21T00:00:00.000,2019-12-17T00:00:00.000,39797.0,45766.0,42781.5,5969.0,2018,"",0
366818,DEPARTMENT OF TRANSPORTATION,Internal,1,Design Subject Matter Expert (SME),CIVIL ENGINEER,3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,"28-11 Queens Plaza No., L.I.C.",Design & Construction,to be eligible for placement in Assignment Levels II and III,"","All resumes are to be submitted electronically using one of the following methods:  Current city employees please log on into Employee Self Service at https://hrb.nycaps.nycnet follow the Careers Link and search for Job ID # 366818  All other applicants, go to www.nyc.gov/careers/search and search for the Job ID #: 366818    No phone calls, faxes or personal inquiries permitted.  Only applicants under consideration will be contacted.  Most public libraries have computers available for use.  Note: New hires must reside in NYC for the first two years of employment.  Appointments are subject to OMB approval.  For more information about DOT, visit us at: www.nyc.gov/dot","28-11 Queens Plaza No., L.I.C.","",New York City Residency is not required for this position,2018-09-26T00:00:00.000,"",83887.0,113725.0,98806.0,29838.0,"","",1
366818,DEPARTMENT OF TRANSPORTATION,External,1,Design Subject Matter Expert (SME),CIVIL ENGINEER,3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,"28-11 Queens Plaza No., L.I.C.",Design & Construction,to be eligible for placement in Assignment Levels II and III,"","All resumes are to be submitted electronically using one of the following methods:  Current city employees please log on into Employee Self Service at https://hrb.nycaps.nycnet follow the Careers Link and search for Job ID # 366818  All other applicants, go to www.nyc.gov/careers/search and search for the Job ID #: 366818    No phone calls, faxes or personal inquiries permitted.  Only applicants under consideration will be contacted.  Most public libraries have computers available for use.  Note: New hires must reside in NYC for the first two years of employment.  Appointments are subject to OMB approval.  For more information about DOT, visit us at: www.nyc.gov/dot","28-11 Queens Plaza No., L.I.C.","",New York City Residency is not required for this position,2018-09-26T00:00:00.000,"",83887.0,113725.0,98806.0,29838.0,"","",1
366932,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Gardener 2,GARDENER,2,Building Operations & Maintenance,F,51950,62446,Annual,"329 Greenpoint Ave., Brooklyn",WSO-OGI Maintenance,"Excellent communication skills, both written and verbal. Experience with office applications for the creation of documents and spreadsheets. Background in the creation of work schedules. Experience supervising 6 or more employees.","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/01/2018,"",2018-10-01T00:00:00.000,2019-12-17T00:00:00.000,51950.0,62446.0,57198.0,10496.0,2018,"",0
366932,DEPT OF ENVIRONMENT PROTECTION,External,1,Gardener 2,GARDENER,2,Building Operations & Maintenance,F,51950,62446,Annual,"329 Greenpoint Ave., Brooklyn",WSO-OGI Maintenance,"Excellent communication skills, both written and verbal. Experience with office applications for the creation of documents and spreadsheets. Background in the creation of work schedules. Experience supervising 6 or more employees.","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/01/2018,"",2018-10-01T00:00:00.000,2019-12-17T00:00:00.000,51950.0,62446.0,57198.0,10496.0,2018,"",0
367053,DEPT OF ENVIRONMENT PROTECTION,External,2,Watershed Maintainer,WATERSHED MAINTAINER,0,Building Operations & Maintenance,F,38197,55870,Annual,164-21 110 Ave. Jamaica Queens,Stn (6) Ctrl Opr Ctr - Plt O,"","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/01/2018,"",2018-10-01T00:00:00.000,2019-12-17T00:00:00.000,38197.0,55870.0,47033.5,17673.0,2018,"",0
367053,DEPT OF ENVIRONMENT PROTECTION,Internal,2,Watershed Maintainer,WATERSHED MAINTAINER,0,Building Operations & Maintenance,F,38197,55870,Annual,164-21 110 Ave. Jamaica Queens,Stn (6) Ctrl Opr Ctr - Plt O,"","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/01/2018,"",2018-10-01T00:00:00.000,2019-12-17T00:00:00.000,38197.0,55870.0,47033.5,17673.0,2018,"",0
367181,DEPT OF ENVIRONMENT PROTECTION,Internal,1,DEPUTY PORTFOLIO MANAGER,ADMINISTRATIVE STAFF ANALYST (,M3,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,67060,178873,Annual,96-05 Horace Harding Expway,EDC - Water For The Future,including the 18 months of executive,"as described in \"\"1\"\" above.\"","â€¢	EIT Preferred  â€¢	Strong technical, interpersonal, communication and computer skills with a working knowledge of MS Office software, and Project Scheduling Software.  â€¢	Strong knowledge of project management and project/program controls.  â€¢	Knowledge of design and construction industry standards and practices as well as a strong ability to work on a broad multidisciplinary base with various fields and trades as well as the ability to concurrently handle multiple related and non-related tasks.  â€¢	Proficiency in written and oral communication skills and have experience in writing and reviewing contract specifications for major public works projects.  â€¢	Ability to effectively communicate and conduct business with engineers/architects, inspectors, consultants, contractors, vendors, other agencies, and the public.","\"To apply click \"\"Apply Now\"\"  DEP is an equal opportunity employer with a strong commitment to the diversity of our organization and workforce. Your voluntary response to the NYCAPS on-line application section for referral information will assist us tremendously in our ability to track the success of our outreach and recruitment efforts. Please be sure to indicate your source of referral to this job.    This position is open to qualified persons with a disability who are eligible for the 55-a Program and also meet the education and experience requirements as listed in the job posting notice. Please indicate on your resume or cover letter that you would like to be considered for the position under the 55-a Program.  This position is also open to non 55-a Program candidates serving in the permanent incumbent (civil service) title as indicated in the job posting notice under Civil Service Title.   We appreciate your interest and thank all applicants who apply","","","","",67060.0,178873.0,122966.5,111813.0,"","",1
367181,DEPT OF ENVIRONMENT PROTECTION,External,1,DEPUTY PORTFOLIO MANAGER,ADMINISTRATIVE STAFF ANALYST (,M3,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,67060,178873,Annual,96-05 Horace Harding Expway,EDC - Water For The Future,including the 18 months of executive,"as described in \"\"1\"\" above.\"","â€¢	EIT Preferred  â€¢	Strong technical, interpersonal, communication and computer skills with a working knowledge of MS Office software, and Project Scheduling Software.  â€¢	Strong knowledge of project management and project/program controls.  â€¢	Knowledge of design and construction industry standards and practices as well as a strong ability to work on a broad multidisciplinary base with various fields and trades as well as the ability to concurrently handle multiple related and non-related tasks.  â€¢	Proficiency in written and oral communication skills and have experience in writing and reviewing contract specifications for major public works projects.  â€¢	Ability to effectively communicate and conduct business with engineers/architects, inspectors, consultants, contractors, vendors, other agencies, and the public.","\"To apply click \"\"Apply Now\"\"  DEP is an equal opportunity employer with a strong commitment to the diversity of our organization and workforce. Your voluntary response to the NYCAPS on-line application section for referral information will assist us tremendously in our ability to track the success of our outreach and recruitment efforts. Please be sure to indicate your source of referral to this job.    This position is open to qualified persons with a disability who are eligible for the 55-a Program and also meet the education and experience requirements as listed in the job posting notice. Please indicate on your resume or cover letter that you would like to be considered for the position under the 55-a Program.  This position is also open to non 55-a Program candidates serving in the permanent incumbent (civil service) title as indicated in the job posting notice under Civil Service Title.   We appreciate your interest and thank all applicants who apply","","","","",67060.0,178873.0,122966.5,111813.0,"","",1
367653,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Software Developer,COMPUTER ASSOC (SOFTWARE),1,"Technology, Data & Innovation",F,64657,74356,Annual,421 East 26th Street NY NY,OCME-Admin,24 semester credits from an accredited college or graduate school in computer science or a related field,"all candidates must have at least a four-year high school diploma or its educational equivalent and at least one year of satisfactory full-time experience as described in \"\"1\"\" above.\"","Successful candidate should possess the following: â€¢ 2+ years solid .NET development experience in complex environments/projects; Java web application development experience a plus. â€¢ 2+ years experienced with Microsoft Structured Query Language (MSSQL) Server 2008+, SQL Server Reporting Service (SSRS), SSIS and SSAS.  â€¢ 2+ years experienced with developing, designing, enhancements & maintaining database systems, data integrity, hands on performance tuning, data modeling and coordination of multiple database systems.  â€¢ Ability to perform assigned analytical and development tasks under supervision; ability to handle concurrent or multiple tasks/projects efficiently.  â€¢ Good communication skills, collaborative work style. Ability to work effectively in a team environment - will  â€¢ interact with internal customers, peers, and management.  â€¢ Microsoft Certified Solution Developer status is a plus.","TO APPLY, PLEASE SUBMIT RESUME AND COVER LETTER TO: https://a127-jobs.nyc.gov (JOB ID # 367653)  Please note that only candidates selected for the interview will be contacted for the position","","","",New York City Residency is not required for this position,64657.0,74356.0,69506.5,9699.0,"","",0
367690,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Software Developer,COMPUTER ASSOC (SOFTWARE),2,"Technology, Data & Innovation",F,69618,80061,Annual,421 East 26th Street NY NY,OCME-Admin,24 semester credits from an accredited college or graduate school in computer science or a related field,"all candidates must have at least a four-year high school diploma or its educational equivalent and at least one year of satisfactory full-time experience as described in \"\"1\"\" above.\"","Successful candidate should possess the following: â€¢	3 to 5 years solid .NET development experience in complex environments/projects; Java web application development experience a plus. â€¢	3+ years experienced with Microsoft Structured Query Language (MSSQL) Server 2008+, SQL Server Reporting Service (SSRS), SSIS and SSAS.  â€¢	3+ years experienced with developing, designing, enhancements & maintaining database systems, data integrity, hands on performance tuning, data modeling and coordination of multiple database systems.  â€¢	Charts and Dashboard reports knowledge; iDashboard knowledge a plus â€¢	Ability to perform assigned analytical and development tasks under minimum supervision; ability to handle concurrent or multiple tasks/projects efficiently.  â€¢	Good communication skills, collaborative work style. Ability to work effectively in a team environment - will interact with internal customers, peers, and management.  â€¢	Microsoft Certified Solution Developer status is a plus.","TO APPLY, PLEASE SUBMIT RESUME AND COVER LETTER TO https://a127-jobs.nyc.gov (JOB ID # 367690)","","","",New York City Residency is not required for this position,69618.0,80061.0,74839.5,10443.0,"","",0
368207,DEPT OF ENVIRONMENT PROTECTION,External,1,Industrial Control Technician,COMPUTER SPECIALIST (OPERATION,0,"Technology, Data & Innovation",F,74395,116126,Annual,96-05 Horace Harding Expway,OIT/WT,"â€¢ Strong organizational and interpersonal skills including mentoring, collaborating, and team building â€¢ Ability to adapt to shifting priorities â€¢ Proficiency in one or more of the following automation programming modalities: Programmable Logic controller (PLC), Operate Interface Terminal (OIT), and Human Machine Interface (HMI) â€¢ (with and without object oriented graphical user interfaces.) â€¢ In depth understanding of Data Collection and Analysis of SCADA systems: (IFX and Wonderware, Rockwell Software (RS) Logix 5000, In Touch Modicon Quantum). â€¢ Experience working with GE Cimplicity, GE Fix, and Ionics Genesis â€¢ Strong understanding of PI Historian, OPC Factory Talk Historian and GE Historian. â€¢ Experience working with various sensors such as: flow meters and ultrasonic depth gauges â€¢ Experience working with Routers, Switches Ethernet, fiber/media converters Serial and Industrial Standard","","96-05 Horace Harding Expway, 2nd Floor, Corona, NY 11368",New York City Residency is not required for this position,10/26/2018,"",2018-11-02T00:00:00.000,2019-12-17T00:00:00.000,74395.0,116126.0,95260.5,41731.0,2018,"",0
368207,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Industrial Control Technician,COMPUTER SPECIALIST (OPERATION,0,"Technology, Data & Innovation",F,74395,116126,Annual,96-05 Horace Harding Expway,OIT/WT,"â€¢ Strong organizational and interpersonal skills including mentoring, collaborating, and team building â€¢ Ability to adapt to shifting priorities â€¢ Proficiency in one or more of the following automation programming modalities: Programmable Logic controller (PLC), Operate Interface Terminal (OIT), and Human Machine Interface (HMI) â€¢ (with and without object oriented graphical user interfaces.) â€¢ In depth understanding of Data Collection and Analysis of SCADA systems: (IFX and Wonderware, Rockwell Software (RS) Logix 5000, In Touch Modicon Quantum). â€¢ Experience working with GE Cimplicity, GE Fix, and Ionics Genesis â€¢ Strong understanding of PI Historian, OPC Factory Talk Historian and GE Historian. â€¢ Experience working with various sensors such as: flow meters and ultrasonic depth gauges â€¢ Experience working with Routers, Switches Ethernet, fiber/media converters Serial and Industrial Standard","","96-05 Horace Harding Expway, 2nd Floor, Corona, NY 11368",New York City Residency is not required for this position,10/26/2018,"",2018-11-02T00:00:00.000,2019-12-17T00:00:00.000,74395.0,116126.0,95260.5,41731.0,2018,"",0
368254,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Associate Water Use inspector,ASSOCIATE WATER USE INSPECTOR,3,"Public Safety, Inspections, & Enforcement",F,64636,81498,Annual,"1932 Arthur Ave, Bronx",Sys Operations-Bx Mgmt Eng,"","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/05/2018,"",2018-10-05T00:00:00.000,2019-12-17T00:00:00.000,64636.0,81498.0,73067.0,16862.0,2018,"",0
368288,DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Deputy Chief, Industrial Pollution Prevention Unit",SCIENTIST (WATER ECOLOGY),3,"Policy, Research & Analysis",F,61324,87489,Annual,"Wards Island, N.Y.",Drainage Basin Monitoring,at least 12 of which must have been in one of these areas of study; and at least one year of satisfactory full time experience,management or  research or performing environmental laboratory analyses,"and/or environmental field sampling of water; or    3. An associate degree from an accredited college or university  including or supplemented by 24 semester credits in one or a combination of the areas of study described in \"\"1\"\" above","all candidates must have a baccalaureate degree from an accredited college or university as described in \"\"2\"\" above and must have one additional year of the experience described in \"\"2\"\" above for a total of two years of experience.    Special Note  A master's degree from an accredited college in one of the areas described in \"\"1\"\" above may be substituted for up to two years of the required experience.\"","","Appointments are subject to OMB approval.  For additional information about DEP, visit www.nyc.gov/dep.  DEP is an equal opportunity employer with a strong commitment to the diversity of our organization and workforce. Your voluntary response to the NYCAPS on-line application section for referral information will assist us tremendously in our ability to track the success of our outreach and recruitment efforts. Please be sure to indicate your source of referral to this job.","\"Click \"\"Apply Now\"\" button\"",35 hours per week / day,61324.0,87489.0,74406.5,26165.0,"","",1
368288,DEPT OF ENVIRONMENT PROTECTION,External,1,"Deputy Chief, Industrial Pollution Prevention Unit",SCIENTIST (WATER ECOLOGY),3,"Policy, Research & Analysis",F,61324,87489,Annual,"Wards Island, N.Y.",Drainage Basin Monitoring,at least 12 of which must have been in one of these areas of study; and at least one year of satisfactory full time experience,management or  research or performing environmental laboratory analyses,"and/or environmental field sampling of water; or    3. An associate degree from an accredited college or university  including or supplemented by 24 semester credits in one or a combination of the areas of study described in \"\"1\"\" above","all candidates must have a baccalaureate degree from an accredited college or university as described in \"\"2\"\" above and must have one additional year of the experience described in \"\"2\"\" above for a total of two years of experience.    Special Note  A master's degree from an accredited college in one of the areas described in \"\"1\"\" above may be substituted for up to two years of the required experience.\"","","Appointments are subject to OMB approval.  For additional information about DEP, visit www.nyc.gov/dep.  DEP is an equal opportunity employer with a strong commitment to the diversity of our organization and workforce. Your voluntary response to the NYCAPS on-line application section for referral information will assist us tremendously in our ability to track the success of our outreach and recruitment efforts. Please be sure to indicate your source of referral to this job.","\"Click \"\"Apply Now\"\" button\"",35 hours per week / day,61324.0,87489.0,74406.5,26165.0,"","",1
368322,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Technical Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,2,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,49390,71794,Annual,96-05 Horace Harding Expway,Concrete Quality Control,"\"\"2\"\"","â€¢	Demonstrates excellent communication, organization, writing skills, and ability to meet and manage aggressive deadlines.  â€¢	Demonstrates a collaborative and team approach. Experience helping foster a positive team environment in which members participate, respect and cooperate with each other to receive desired results.  â€¢	Preference will be given to candidates with computer proficiency including MS Word, Excel, PowerPoint, and Visio.","****Only applicants who are permanent Civil Service Principal Administrative Associate are eligible to apply to this JVN. If you do not have permanent civil service status as a Principal Administrative Associate, please do not apply to this position as you will not be considered for an interview.****  DEP is an equal opportunity employer with a strong commitment to the diversity of our organization and workforce. Your voluntary response to the NYCAPS on-line application section for referral information will assist us tremendously in our ability to track the success of our outreach and recruitment efforts. Please be sure to indicate your source of referral to this job.    This position is open to qualified persons with a disability who are eligible for the 55-a Program and meet the education and experience requirements as listed in the job posting notice. Please indicate on your resume or cover letter that you would like to be considered for the position under the 55-a Program.  This position is also open to non 55-a Program candidates serving in the permanent incumbent (civil service) title as indicated in the job posting notice under Civil Service Title.  We appreciate your interest and thank all applicants who apply, but only candidates under consideration will be contacted.  All appointments are subject to Office of Management and Budget (OMB) approval.","","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2018-10-12T00:00:00.000,49390.0,71794.0,60592.0,22404.0,"","",0
368322,DEPT OF ENVIRONMENT PROTECTION,External,1,Technical Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,2,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,49390,71794,Annual,96-05 Horace Harding Expway,Concrete Quality Control,"\"\"2\"\"","â€¢	Demonstrates excellent communication, organization, writing skills, and ability to meet and manage aggressive deadlines.  â€¢	Demonstrates a collaborative and team approach. Experience helping foster a positive team environment in which members participate, respect and cooperate with each other to receive desired results.  â€¢	Preference will be given to candidates with computer proficiency including MS Word, Excel, PowerPoint, and Visio.","****Only applicants who are permanent Civil Service Principal Administrative Associate are eligible to apply to this JVN. If you do not have permanent civil service status as a Principal Administrative Associate, please do not apply to this position as you will not be considered for an interview.****  DEP is an equal opportunity employer with a strong commitment to the diversity of our organization and workforce. Your voluntary response to the NYCAPS on-line application section for referral information will assist us tremendously in our ability to track the success of our outreach and recruitment efforts. Please be sure to indicate your source of referral to this job.    This position is open to qualified persons with a disability who are eligible for the 55-a Program and meet the education and experience requirements as listed in the job posting notice. Please indicate on your resume or cover letter that you would like to be considered for the position under the 55-a Program.  This position is also open to non 55-a Program candidates serving in the permanent incumbent (civil service) title as indicated in the job posting notice under Civil Service Title.  We appreciate your interest and thank all applicants who apply, but only candidates under consideration will be contacted.  All appointments are subject to Office of Management and Budget (OMB) approval.","","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2018-10-12T00:00:00.000,49390.0,71794.0,60592.0,22404.0,"","",0
368853,DEPARTMENT OF BUSINESS SERV.,Internal,1,"EXECUTIVE DIRECTOR, CONSTRUCTION INDUSTRY PARTNERSHIP",ADMINISTRATIVE BUSINESS PROMOT,M2,Constituent Services & Community Programs,F,60435,130000,Annual,110 William St. N Y,Industry Partnerships,"â€¢Polished senior level professional with 8 + years of experience in the construction sector, the last 3 of which has been in management position  â€¢Insightful and extensive knowledge of industry with established network of contacts. â€¢Demonstrates business savvy and high level of interpersonal skills. â€¢Excellent analytical, critical thinking, and creative problem-solving skills. â€¢Experience managing multiple stakeholders and staff.  â€¢Knowledge of adult learning best practices and occupational skills training. â€¢Significant experience in partner relationship management. â€¢Outstanding written and verbal communications skills, including formal presentation skills. â€¢Ability to effectively and confidently present to senior level public and corporate officials. â€¢Comfortable working in a fast-paced environment, managing multiple projects simultaneously and prioritizing projects to meet deadlines. â€¢Entrepreneurial and collaborative style that works well in teams. â€¢Knowledge of NYC labor market.","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/16/2018,"",2018-11-23T00:00:00.000,2019-12-17T00:00:00.000,60435.0,130000.0,95217.5,69565.0,2018,"",0
